3,3,10,5,10,10,5,10,10,5,10,0,0,0,0,0,0,10,5,10,6,3,6,no,0010118032950
3,3,10,10,5,10,10,5,10,10,5,0,0,0,0,0,0,10,10,5,6,6,3,no,0592118032485
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,001010910582
3,3,10,5,10,10,5,7,10,5,10,0,0,0,0,0,0,10,5,9,6,3,5.4,no,0010118032121
3,3,5,7,5,5,7,5,10,7,5,0,0,0,0,0,0,6.6666666666667,7,5,4,4.2,3,no,0755118031100
3,3,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,6,6,6,no,0010116120074
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,0021118030291
3,3,10,5,10,10,5,10,10,5,10,0,0,0,0,0,0,10,5,10,6,3,6,no,001011240325
3,3,10,5,7,10,5,7,10,5,7,0,0,0,0,0,0,10,5,7,6,3,4.2,no,001010992014
3,3,10,5,7,10,5,7,10,5,7,0,0,0,0,0,0,10,5,7,6,3,4.2,no,0021118030346
2,2,10,10,5,10,5,5,0,0,0,0,0,0,0,0,0,10,7.5,5,4,3,2,no,001011110279
3,3,10,7,5,10,7,5,10,7,5,0,0,0,0,0,0,10,7,5,6,4.2,3,no,001013110145
3,3,10,10,7,10,10,7,10,7,7,0,0,0,0,0,0,10,9,7,6,5.4,4.2,no,001011120944
3,3,0,0,0,10,5,10,10,5,10,0,0,0,0,0,0,10,5,10,4,2,4,no,0010118033825
3,1,0,0,0,10,5,7,0,0,0,0,0,0,0,0,0,10,5,7,2,1,1.4,no,0010118032050
3,3,10,5,10,10,5,10,10,5,10,0,0,0,0,0,0,10,5,10,6,3,6,no,0010118033556
3,3,10,5,7,10,5,7,10,5,7,0,0,0,0,0,0,10,5,7,6,3,4.2,no,0010118032008
3,3,10,10,5,10,10,5,5,10,5,0,0,0,0,0,0,8.3333333333333,10,5,5,6,3,no,0021118030363
2,2,0,0,0,10,10,5,10,7,5,0,0,0,0,0,0,10,8.5,5,4,3.4,2,no,0021115040246
2,1,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,2,2,1,drop,001011231003
